Направление;Товар;Свойство;Строка в эталоне;Строка в проверяемом;Число в эталоне;Число в проверяемом;Дата в эталоне;Дата в проверяемом
091->000;Чай "Похудей для здоровья людей" лесные ягоды ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" лимон ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" лотоса ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" малина ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" манго ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" черн. смородина ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" черника ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай "Похудей для здоровья людей" яблоко ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей , ф/пак №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Ананас, ф/пак №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Апельсин+Мандарин, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Апельсин, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Блэк, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Ваниль ф/п №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Вишневый, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей для здоровья людей роза ф/п 2г №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Земляничн., ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Капучино ф/п №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Клубничн., ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Лесная Ягода, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Лимонный, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Малиновый, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Манго, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Мандарин, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Мелисса, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей Персик, ф/пак. №30;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Похудей плюс стройная фигура, ф/пак 2г №24 Апельсин;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Апельсин;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Вишня;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Клубника;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Лесная ягода;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Лимон;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Малина;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 персик;Свойство для поднятия версии;;;;28122018,03;;
091->000;Чай Сантимин, №30 Черника;Свойство для поднятия версии;;;;28122018,03;;
091->000;Бинт Пеха-Крепп 4м х 10см инд уп Харт;Иск_1-2-1-4-1-4-3-1-7_5;;;;10;;
091->000;ПОВЯЗКА КОСМОПОР-Е 15Х6 П'ОПЕРАЦ.№1 ХАРТ;Фармгруппа1;;Перевязочные изделия;;;;
091->000;ПОВЯЗКА КОСМОПОР-Е 15Х6 П'ОПЕРАЦ.№1 ХАРТ;Исключения 2-3-3-2-3-2-6;;;;45;;
091->000;ПОВЯЗКА КОСМОПОР-Е 15Х6 П'ОПЕРАЦ.№1 ХАРТ;Иск_1-2-1-3-1-4-3-1-7_4;;;;15;;
091->000;ПОВЯЗКА КОСМОПОР-Е 15Х6 П'ОПЕРАЦ.№1 ХАРТ;Иск_1-2-1-3-1-4-3-1-7_8;;;;10;;
091->000;ПОВЯЗКА КОСМОПОР-Е 15Х6 П'ОПЕРАЦ.№1 ХАРТ;Иск_2-1-1-4-1-1-2-2-5_1;;;;105;;
091->000;ПОВЯЗКА КОСМОПОР-Е 15Х9 П'ОПЕРАЦ.№10 ХАРТ;Фармгруппа1;;Перевязочные изделия;;;;
091->000;Нафтизин, капли назальн 0.05% 20мл тюб-кап;НЕ приоритет МК;;;;;;
091->000;Лампа солевая Амфора (2-3кг);Фармгруппа1;;Ароматерапия, натуральные масла;;;;
091->000;БИОМОРОЖЕНОЕ СЛИВОЧНОЕ СЕМЕЙНЫЙ АКТИВ ГОРЬКИЙ ШОКОЛАД 450ГР;Фармгруппа1;;Прочее питание;;;;
091->000;ШАМПУНЬ ХЭД ЭНД ШОЛДЕРС 200МЛ ЯБЛОЧНАЯ СВЕЖЕСТЬ;Фармгруппа1;;Сред для волос(шамп,бальз,краски,маски);;;;
091->000;Девясил корневища и корни, ф/пак 1.5г №20;Иск_1-2-1-3-1-4-3-1-7_4;;;;5;;
091->000;ПОВЯЗКА КОСМОПОР ANTIBACT С СЕРЕБРОМ 15Х6 П'ОПЕРАЦ. №1 ХАРТ;Иск_4-1-2-2-2-2-2-3-4_1;;;;35;;
091->000;Прокл, Котекс янг нормал сетч №10;Иск_1-1-1-3-1-1-3-1-5_1;;;;40;;
091->000;ПЕРЧАТКИ ПЕХА-СОФТ НИТРИЛ.Н'С ДИАГ.НЕОПУДР.Р.L №50(100Ш)ХАРТ;Иск_1-2-1-4-1-4-3-1-7_5;;;;7;;
091->000;ПОВЯЗКА КОСМОПОР-Е 10Х8 П'ОПЕРАЦ. №10 ХАРТ;Иск_2-1-1-3-1-1-2-2-5_1;;;;31;;
091->000;ПОВЯЗКА КОСМОПОР-Е 10Х8 П'ОПЕРАЦ. №10 ХАРТ;Иск_4-1-2-1-2-2-2-3-1_1;;;;57;;
091->000;ТЕСТ НА ОВУЛЯЦИЮ КЛИАБЛУ №7 ЦИФРОВОЙ;НЕ приоритет МК;;;;;;
091->000;СОРБИТПИЩЕВОЙ ПОРОШОК 500,0;Фармгруппа1;;Диабетическое питание;;;;
091->000;СОРБИТПИЩЕВОЙ ПОРОШОК 500,0;Исключения ЦО 2;;;;33;;
091->000;СОРБИТПИЩЕВОЙ ПОРОШОК 500,0;Иск_1-1-3-5-4-3-3-3-2;;;;30;;
000->092;Ротокан, фл 25мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;Сорбифер дурулес, тбл п/о №50;Иск_4-1-2-1-2-2-2-3-1_1;;;36;39;;
000->092;Сорбифер дурулес, тбл п/о №50;Иск_3-1-1-3-2-2-2-2-4_1;;;32;36;;
000->092;Сорбифер дурулес, тбл п/о №50;Иск_3-1-2-4-2-1-2-2-3_1;;;38;41;;
000->092;Сорбифер дурулес, тбл п/о №50;Свойство для поднятия версии;;;1022019,55;28012019;;
000->092;Тмин плоды, пачка 50г;Свойство для поднятия версии;;;28122018,03;;;
000->092;Тысячелистник трава, ф/пак 1.5г №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Цинковая мазь, 10% 30г;Свойство для поднятия версии;;;28122018,03;;;
000->092;Почечный чай /Ортосифон тычиночный/, ф/пак 1.5г №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пектусин, тбл №10;Свойство для поднятия версии;;;30122018,01;;;
000->092;Хлоргексидин, р-р 0.05% 70мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;Офлоксацин, тбл п/о 200мг №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Флуконазол, капс 150мг №1;Исключения Эластичные 1ЖВ;;;25;;;
000->092;Флуконазол, капс 150мг №1;Исключение 3-2-2-5-2-3-4-2-4 Ж;;;24;;;
000->092;Флуконазол, капс 150мг №1;Иск_1-1-1-3-1-1-3-1-5_1_ЖВ;;;15;;;
000->092;Флуконазол, капс 150мг №1;Иск_1-2-1-3-1-4-3-1-6_1_ЖВ;;;24;;;
000->092;Флуконазол, капс 150мг №1;Иск_2-1-1-2-2-2-2-2-5_1_ЖВ;;;14;11;;
000->092;Флуконазол, капс 150мг №1;Иск_5-4-3-5-3-4-4-4-8_2_ЖВ;;;30;;;
000->092;Флуконазол, капс 150мг №1;Иск_5-3-3-5-3-4-4-4-8_2_ЖВ;;;27;;;
000->092;Флуконазол, капс 150мг №1;Иск_1-1-1-3-1-3-1-2-2_3_ЖВ;;;25;;;
000->092;Флуконазол, капс 150мг №1;Иск_2-1-2-4-1-2-2-2-6_1_ЖВ;;;24;;;
000->092;Флуконазол, капс 150мг №1;Иск_3-1-1-2-2-2-2-2-4_1_ЖВ;;;24;;;
000->092;Флуконазол, капс 150мг №1;Иск_3-1-2-4-1-3-1-2-2_1_ЖВ;;;25;;;
000->092;Флуконазол, капс 150мг №1;Иск_2-1-1-3-1-1-2-2-5_2_ЖВ;;;25;;;
000->092;Флуконазол, капс 150мг №1;Иск_2-1-1-4-1-2-2-2-1_1_ЖВ;;;21;;;
000->092;Флуконазол, капс 150мг №1;Иск_3-1-2-4-1-2-2-3-5_1_ЖВ;;;25;;;
000->092;Флуконазол, капс 150мг №1;Иск_3-1-1-3-2-1-2-2-4_1_ЖВ;;;23;;;
000->092;Флуконазол, капс 150мг №1;Иск_2-1-1-3-1-1-3-1-5_1_ЖВ;;;25;;;
000->092;Флуконазол, капс 150мг №1;Иск_1-1-1-3-1-3-1-2-2_4_ЖВ;;;20;;;
000->092;Флуконазол, капс 150мг №1;Свойство для поднятия версии;;;30122018,01;;;
000->092;Полиоксидоний, лиоф д/ин и мест. прим. фл 3мг №5;Свойство для поднятия версии;;;28122018,03;;;
000->092;Бандаж до-послеродовой Герда 9806 р.1 беж;Свойство для поднятия версии;;;28122018,03;5;;
000->092;Пентоксифиллин, тбл п/о 100мг №60;Свойство для поднятия версии;;;28122018,03;;;
000->092;Морская капуста /Ламинарии слоевища/, пачка 100г__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Офлоксацин, тбл п/о 200мг N10__Россия-СНГ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пектусин, тбл №10__СНГ;Свойство для поднятия версии;;;30122018,01;;;
000->092;Пентоксифиллин, тбл п/о 100мг N60__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Полиоксидоний, лиоф пор д/инъ 3мг N5__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Исключения 2-3-3-2-3-2-6;;;52;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Иск_2-1-1-2-2-1-2-2-3_1;;;52;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Иск_4-1-2-1-2-2-2-3-1_1;;;66;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Иск_1-2-1-3-1-4-3-1-7_10;;;43;44;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Иск_2-1-1-3-1-3-1-2-2_1;;;63;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Иск_1-2-1-4-1-4-3-1-7_2_1;;;44;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Иск_4-1-2-2-2-2-2-3-4_1;;;63;;;
000->092;Простатилен, пор.д/ин амп 5мг №5__Россия-СНГ;Свойство для поднятия версии;;;30122018,01;;;
000->092;Ротокан, фл 25мл__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Теймурова паста, 30г__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Тысячелистник трава, пачка 50г__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Фенхель плоды, пачка 50г__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Хлоргексидина биглюконат /Интим-спрей/, фл 0.05% 70мл__Росс;Свойство для поднятия версии;;;28122018,03;;;
000->092;Цефазолина Na-соль, фл 1г N1__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Офлоксацин, тбл п/о 400мг N10__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Мелоксикам, тбл 15мг №20__Россия-СНГ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Фраксипарин, р-р д/ин п/к 9.5тыс МЕ/мл 0,6мл шпр N10__Импорт;Свойство для поднятия версии;;;28122018,03;;;
000->092;Фраксипарин, р-р д/ин п/к 9.5тыс анти-Ха/мл 0,6мл шпр №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Нолипид, тбл №30;Свойство для поднятия версии;;;28122018,03;;;
000->092;Сбор Арфазетин-Э, ф/пак 2-2.5г №20__Россия;Свойство для поднятия версии;;;28122018,03;;;
000->092;Сбор Арфазетин-Э, ф/пак 2г №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пассажикс, тбл жеват. 10мг №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Исключения 2-3-3-2-3-2-6;;;52;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Иск_2-1-1-2-2-1-2-2-3_1;;;52;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Иск_4-1-2-1-2-2-2-3-1_1;;;66;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Иск_1-2-1-3-1-4-3-1-7_10;;;43;44;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Иск_2-1-1-3-1-3-1-2-2_1;;;63;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Иск_1-2-1-4-1-4-3-1-7_2_1;;;44;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Иск_4-1-2-2-2-2-2-3-4_1;;;63;;;
000->092;Простатилен, пор.д/ин амп 5мг №5;Свойство для поднятия версии;;;30122018,01;;;
000->092;Флуконазол, капс 50мг №7;Свойство для поднятия версии;;;28122018,03;;;
000->092;Офлоксацин, тбл п/п/о 200мг №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Новокаин, р-р д/ин 0.5% 5мл №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Цефотаксим, пор д/инъ в/в в/м 1г №5;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пантенол Фармстандарт, аэр д/наруж 5% 58г;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пустырник трава, пачка 50г;Свойство для поднятия версии;;;28122018,03;;;
000->092;Хондроитин, капс 250мг №50;Исключения ЦО 2;;;26;;;
000->092;Хондроитин, капс 250мг №50;Исключения 2-3-3-2-3-2-6;;;26;;;
000->092;Хондроитин, капс 250мг №50;Исключения 2-3-4-5-2-3-4-2-6;;;32;;;
000->092;Хондроитин, капс 250мг №50;Исключения Эластичные 1;;;51;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-3-1-1-2-2-5_1;;;26;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-1-1-3-1-3-1-2-2_2;;;22;;;
000->092;Хондроитин, капс 250мг №50;Иск_5-5-3-5-3-4-4-4-8_1;;;35;;;
000->092;Хондроитин, капс 250мг №50;Иск_5-5-3-5-3-4-4-4-8_2;;;34;;;
000->092;Хондроитин, капс 250мг №50;Иск_5-4-3-5-3-4-4-4-8_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_5-4-3-5-3-4-4-4-8_2;;;35;;;
000->092;Хондроитин, капс 250мг №50;Иск_5-3-3-5-3-4-4-4-8_1;;;27;35;;
000->092;Хондроитин, капс 250мг №50;Иск_5-3-3-5-3-4-4-4-8_2;;;33;31;;
000->092;Хондроитин, капс 250мг №50;Иск_5-3-3-5-3-4-4-4-8_3;;;28;31;;
000->092;Хондроитин, капс 250мг №50;Иск_4-1-2-1-2-2-2-3-1_1;;;36;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-2-1-3-1-4-3-1-7_5;;;34;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-2-1-3-1-4-3-1-7_7;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-2-1-3-1-4-3-1-7_8;;;33;31;;
000->092;Хондроитин, капс 250мг №50;Иск_1-1-1-3-1-3-1-2-2_3;;;27;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-2-1-3-1-4-3-1-7_10;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_3-1-1-3-2-2-2-2-4_1;;;38;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-2-4-1-2-2-2-6_1;;;35;;;
000->092;Хондроитин, капс 250мг №50;Иск_3-2-2-4-2-2-2-2-4_1;;;18;16;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-2-2-3-1-2-2_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_3-1-2-4-1-3-1-2-2_1;;;25;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-4-1-2-2-2-1_1;;;25;;;
000->092;Хондроитин, капс 250мг №50;Иск_4-1-2-3-1-1-2-2-4_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-2-1-4-1-4-3-1-7_5;;;32;28;;
000->092;Хондроитин, капс 250мг №50;Иск_3-1-2-4-2-1-2-2-3_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_3-1-1-3-2-1-2-2-4_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-4-1-2-2-2-5_2;;;61;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-4-2-1-2-2-3_1;;;34;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-1-2-4-1-1-2-2-6_1;;;35;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-4-1-1-2-2-5_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_3-1-2-4-1-3-1-2-2_2;;;27;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-1-3-1-3-1-2-2_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-2-1-4-1-4-3-1-7_2_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_4-1-2-2-2-2-2-3-4_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Свойство для поднятия версии;;;30122018,01;;;
000->092;Хондроитин, капс 250мг №50;Иск_2-1-2-3-2-3-1-2-2_1;;;32;;;
000->092;Хондроитин, капс 250мг №50;Иск_1-1-1-2-1-1-3-1-5_1;;;30;;;
000->092;Сбор Арфазетин-ЭК, ф/пак 2г №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Цефазолин, пор д/инъ в/в и в/м 1г №1 фл-пач.карт;Свойство для поднятия версии;;;28122018,03;;;
000->092;Мелоксикам, тбл 15мг №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Циндол, сусп 125мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;МексиВ 6,тбл п п/о №30;Иск_4-1-2-1-2-2-2-3-1_1;;;65,5;;;
000->092;МексиВ 6,тбл п п/о №30;Иск_2-1-1-4-1-2-2-2-5_2;;;61,5;;;
000->092;МексиВ 6,тбл п п/о №30;Иск_1-1-2-4-1-1-2-2-6_1;;;54,5;;;
000->092;МексиВ 6,тбл п п/о №30;Иск_3-1-2-4-1-3-1-2-2_2;;;46;;;
000->092;МексиВ 6,тбл п п/о №30;Иск_1-2-1-4-1-4-3-1-7_2_1;;;43,5;;;
000->092;МексиВ 6,тбл п п/о №30;Иск_4-1-2-2-2-2-2-3-4_1;;;62,5;;;
000->092;МексиВ 6,тбл п п/о №30;Свойство для поднятия версии;;;30122018,01;;;
000->092;Тамоксифен, тбл 20мг №30;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пирантел,тбл 250мг №3;Свойство для поднятия версии;;;28122018,03;;;
000->092;Сосновые почки, пачка 50г;Свойство для поднятия версии;;;28122018,03;;;
000->092;Цетиризин,тбл п/п/о 10мг №20__Россия-СНГ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Цетиризин, тбл п/п/о 10мг №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Офлоксацин, тбл п/п/о 400мг №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Ортофен, гель 5% туба 30г;Свойство для поднятия версии;;;28122018,03;;;
000->092;Натурино черная смородина  36,4.;Исключения ЦО 2;;;59;60;;
000->092;Натурино черная смородина  36,4.;Свойство для поднятия версии;;;28122018,03;;;
000->092;Простадоз, капс №60;Свойство для поднятия версии;;;28122018,03;;;
000->092;Натурино клубника 36,4;Исключения ЦО 2;;;59;60;;
000->092;Натурино клубника 36,4;Свойство для поднятия версии;;;28122018,03;;;
000->092;Натурино клубника 36,4;Ядро_расширенное;;;;;;
000->092;Хлорофиллипт, тбл д/рассас №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Рыбий жир Биафишенол валериана/пустырник, капс №100;Свойство для поднятия версии;;;28122018,03;;;
000->092;Сонные, тбл №30;Свойство для поднятия версии;;;28122018,03;;;
000->092;СТЕВИЯ ПЛЮС №150 ТАБ.;Свойство для поднятия версии;;;28122018,03;;;
000->092;СТЕВИЯ ЭКСТРА №150 ШИП.ТАБ.;Свойство для поднятия версии;;;28122018,03;;;
000->092;Холлс, леденцы от кашля мед/лимон;Свойство для поднятия версии;;;28122018,03;;;
000->092;МАЛАВИТ 30МЛ ФЛАКОН;Свойство для поднятия версии;;;28122018,03;;;
000->092;МАЛАВИТ 50МЛ ФЛ;Свойство для поднятия версии;;;28122018,03;;;
000->092;ЛЬНЯНОЕ МАСЛО СЛАВЯНКА АРИНА 200МЛ.;Свойство для поднятия версии;;;28122018,03;;;
000->092;ОРТИЛИДА 500МГ №120 ТАБ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Промисан, капс №120;Свойство для поднятия версии;;;28122018,03;;;
000->092;Стимбифид, тбл 550МГ №80;Свойство для поднятия версии;;;28122018,03;;;
000->092;РОКС ГЕЛЬ ГЕРПЕНОКС 7МЛ'9ГР;Свойство для поднятия версии;;;28122018,03;;;
000->092;Масло эфирное иланг иланг, 10мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;Масло эфирное кедр, 10мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;ФИТОВОРОНКИ УШНЫЕ №2'РЕАМЕД';Свойство для поднятия версии;;;28122018,03;;;
000->092;ФИТОСВЕЧИ УШНЫЕ РЕЛАКС №2 'РЕАМЕД';Свойство для поднятия версии;;;28122018,03;;;
000->092;Мамавит, гель 50мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;Мастокрель, крем-гель 75гр.;Свойство для поднятия версии;;;28122018,03;;;
000->092;МЕНАЛИНД КРЕМ Д'КОЖИ ЗАЩИТНЫЙ 200МЛ ХАРТ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Проктонис, крем 30мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;ФИТОСВЕЧИ УШНЫЕ №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;ЧИСТОСТОП-ФОРТЕ ГЕЛЬ Д'НОГ ПРОТИВОГРИБКОВЫЙ 30МЛ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Тампоны О.В. оригинал нормал №16;Свойство для поднятия версии;;;28122018,03;;;
000->092;Тампоны О.В. прокомфорт нормал найт №16;Свойство для поднятия версии;;;28122018,03;7122018;;
000->092;Тампоны О.В. прокомфорт супер №16;Свойство для поднятия версии;;;28122018,03;;;
000->092;Прокл, Белла herbs софт липовый цвет №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Прокл, Милана классик софт инд уп №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Прокл, Котекс янг нормал сетч №10;Свойство для поднятия версии;;;28122018,03;10122018;;
000->092;Прокл, Либресс ультра нормал део мяг пов №10;МК_2018;Тена;;;;;
000->092;Прокл, Либресс ультра нормал део мяг пов №10;Свойство для поднятия версии;;;28122018,03;;;
000->092;Прокл, Белла сени леди уролог нормал №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Прокл, Белла сени леди уролог нормал №20;Ядро_расширенное;;;;;;
000->092;Пеленки Белла сени софт 60х90 №5;Свойство для поднятия версии;;;28122018,03;;;
000->092;Пеленки Белла сени софт 60х90 №5;Ядро_расширенное;;;;;;
000->092;Прокл, Белла сени леди уролог мини  №20;Свойство для поднятия версии;;;28122018,03;;;
000->092;Прокл, Белла сени леди уролог мини  №20;Ядро_расширенное;;;;;;
000->092;МОЛИПАНЦ СОФТ ШТАНИШКИ Д'ФИКС.ПРОКЛ.P.S №1'ХАРТ;Свойство для поднятия версии;;;28122018,03;7122018;;
000->092;Перекись водорода, 3% 100мл дез ср-во;Свойство для поднятия версии;;;28122018,03;;;
000->092;Д/п Фрутоняня каша рисовая б/м 200г;Свойство для поднятия версии;;;28122018,03;7122018;;
000->092;Д/п Фрутоняня малышам сок яблоко с мякотью 200мл;Свойство для поднятия версии;;;28122018,03;7122018;;
000->092;Д/п Гербер пюре овощ.салат 130г;Свойство для поднятия версии;;;28122018,03;;;
000->092;ХУДЕЕМ ЗА НЕДЕЛЮ КАША ОВСЯНАЯ ЯБЛОКО'КОРИЦА СО СЛИВК.№10 ПАК;Свойство для поднятия версии;;;28122018,03;;;
000->092;ХУДЕЕМ ЗА НЕДЕЛЮ СЛИМ-МЮСЛИ ЖИРОСЖИГ.КОМПЛЕКС 375ГР;Свойство для поднятия версии;;;28122018,03;;;
000->092;ХУДЕЕМ ЗА НЕДЕЛЮ СУП-ПЮРЕ ИЗ ПОМИДОР ПО-ТОСКАНСКИ 20ГР ПАКЕТ;Свойство для поднятия версии;;;28122018,03;;;
000->092;ХУДЕЕМ ЗА НЕДЕЛЮ КОКТЕЙЛЬ БЕЛКОВО-ШОКОЛАД.40,0 №5;Свойство для поднятия версии;;;28122018,03;;;
000->092;Перекись водорода, леккер 3% 5мл;Свойство для поднятия версии;;;28122018,03;;;
000->092;БЕРУШИ ПРОТИВОШУМНЫЕ №4;Свойство для поднятия версии;;;28122018,03;5;;
000->092;КОНТЕЙНЕР ПИЛЮЛЯ НА 1 ДЕНЬ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Игла медиц 0,8Х40мм;Свойство для поднятия версии;;;28122018,03;;;
000->092;Марля медицинская 3м;Свойство для поднятия версии;;;28122018,03;;;
000->092;ЛЕЙКОПЛ.СИЛКОФИКС 5Х500СМ. ШЕЛК.ОСНОВА;Свойство для поднятия версии;;;28122018,03;5;;
000->092;САЛФЕТКА STERILUX ES CТЕР.7,5Х7,5 №10 ХАРТ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Бинт Пеха-Крепп 4м х 10см инд уп Харт;Свойство для поднятия версии;;;28122018,03;5;;
000->092;Бинт эласт Унга-СР 1х8см с застежкой С-306;Свойство для поднятия версии;;;28122018,03;7122018;;
000->092;ЛЕЙКОПЛ.ОМНИПЛАСТ 9,2Х5СМ.ТЕКСТ.ТЕЛЕС.ЦВ.ХАРТ;Свойство для поднятия версии;;;28122018,03;;;
000->092;Повязка Бранолинд N с перуан бальз 10х20см №1 Харт;Свойство для поднятия версии;;;28122018,03;5;;
000->092;ПОВЯЗКА КОСМОПОР ANTIBACT С СЕРЕБРОМ 15Х6 П'ОПЕРАЦ. №1 ХАРТ;Свойство для поднятия версии;;;28122018,03;5;;
